team,fixtures_with_stats,avg_shots_on_goal,avg_total_shots,avg_fouls,avg_corners,avg_yellow_cards,avg_red_cards,avg_possession
Algeria,1,7.0,13.0,13.0,5.0,1.0,0,47.0
Argentina,9,7.222,15.444,11.444,5.778,1.111,0,62.667
Australia,1,3.0,7.0,18.0,3.0,1.0,0,59.0
Austria,14,5.643,14.214,13.429,4.857,2.0,0.0,57.071
Belgium,14,5.286,14.643,10.0,6.786,1.615,0.0,57.429
Bosnia and Herzegovina,8,2.25,6.875,12.5,2.125,2.25,0,35.125
Brazil,8,5.375,13.75,14.5,4.625,2.5,0.0,55.625
Canada,12,4.167,11.083,13.583,4.833,2.25,0.0,49.5
South Africa,1,5.0,12.0,11.0,3.0,2.0,0,53.0
Spain,1,8.0,19.0,20.0,6.0,3.0,0,59.0
Switzerland,1,2.0,4.0,12.0,3.0,2.0,0,58.0
