team,matches_with_fbref,schedule_rows,shooting_rows,misc_rows,avg_xg_for,avg_xg_against,avg_shots,avg_shots_on_target,avg_shot_distance,avg_free_kick_shots,avg_penalty_goals,avg_penalty_attempts,avg_yellow_cards,avg_red_cards,avg_fouls,avg_fouls_drawn,avg_offsides,avg_crosses,avg_tackles_won,avg_interceptions,avg_own_goals,avg_xg_diff
Algeria,3,3,0,0,,,,,,,,,,,,,,,,,,
Argentina,10,10,0,0,,,,,,,,,,,,,,,,,,
Australia,7,7,0,0,,,,,,,,,,,,,,,,,,
Austria,3,3,0,0,,,,,,,,,,,,,,,,,,
Belgium,6,6,0,0,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,3,3,0,0,,,,,,,,,,,,,,,,,,
Brazil,8,8,0,0,,,,,,,,,,,,,,,,,,
Cameroon,3,3,0,0,,,,,,,,,,,,,,,,,,
Canada,6,6,0,0,,,,,,,,,,,,,,,,,,
Cape Verde,3,3,0,0,,,,,,,,,,,,,,,,,,
Colombia,3,3,0,0,,,,,,,,,,,,,,,,,,
Costa Rica,3,3,0,0,,,,,,,,,,,,,,,,,,
Croatia,10,10,0,0,,,,,,,,,,,,,,,,,,
Curaçao,3,3,0,0,,,,,,,,,,,,,,,,,,
Czechia,3,3,0,0,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,3,3,0,0,,,,,,,,,,,,,,,,,,
DR Congo,3,3,0,0,,,,,,,,,,,,,,,,,,
Denmark,3,3,0,0,,,,,,,,,,,,,,,,,,
Ecuador,6,6,0,0,,,,,,,,,,,,,,,,,,
Egypt,3,3,0,0,,,,,,,,,,,,,,,,,,
England,8,8,0,0,,,,,,,,,,,,,,,,,,
France,10,10,0,0,,,,,,,,,,,,,,,,,,
Germany,6,6,0,0,,,,,,,,,,,,,,,,,,
Ghana,6,6,0,0,,,,,,,,,,,,,,,,,,
Haiti,3,3,0,0,,,,,,,,,,,,,,,,,,
Iran,6,6,0,0,,,,,,,,,,,,,,,,,,
Iraq,3,3,0,0,,,,,,,,,,,,,,,,,,
Japan,7,7,0,0,,,,,,,,,,,,,,,,,,
Jordan,3,3,0,0,,,,,,,,,,,,,,,,,,
Mexico,6,6,0,0,,,,,,,,,,,,,,,,,,
Morocco,10,10,0,0,,,,,,,,,,,,,,,,,,
Netherlands,8,8,0,0,,,,,,,,,,,,,,,,,,
New Zealand,3,3,0,0,,,,,,,,,,,,,,,,,,
Norway,3,3,0,0,,,,,,,,,,,,,,,,,,
Panama,3,3,0,0,,,,,,,,,,,,,,,,,,
Paraguay,3,3,0,0,,,,,,,,,,,,,,,,,,
Poland,4,4,0,0,,,,,,,,,,,,,,,,,,
Portugal,8,8,0,0,,,,,,,,,,,,,,,,,,
Qatar,6,6,0,0,,,,,,,,,,,,,,,,,,
Saudi Arabia,6,6,0,0,,,,,,,,,,,,,,,,,,
Scotland,3,3,0,0,,,,,,,,,,,,,,,,,,
Senegal,7,7,0,0,,,,,,,,,,,,,,,,,,
Serbia,3,3,0,0,,,,,,,,,,,,,,,,,,
South Africa,3,3,0,0,,,,,,,,,,,,,,,,,,
South Korea,7,7,0,0,,,,,,,,,,,,,,,,,,
Spain,7,7,0,0,,,,,,,,,,,,,,,,,,
Sweden,3,3,0,0,,,,,,,,,,,,,,,,,,
Switzerland,7,7,0,0,,,,,,,,,,,,,,,,,,
Tunisia,6,6,0,0,,,,,,,,,,,,,,,,,,
Turkey,3,3,0,0,,,,,,,,,,,,,,,,,,
United States,7,7,0,0,,,,,,,,,,,,,,,,,,
Uruguay,6,6,0,0,,,,,,,,,,,,,,,,,,
Uzbekistan,3,3,0,0,,,,,,,,,,,,,,,,,,
Wales,3,3,0,0,,,,,,,,,,,,,,,,,,
