group,country,players_count
A,Czechia,26
A,Mexico,26
A,Republic of Korea,26
A,South Africa,26
B,Bosnia and Herzegovina,26
B,Canada,26
B,Qatar,26
B,Switzerland,26
C,Brazil,26
C,Haiti,26
C,Morocco,26
C,Scotland,26
D,Australia,26
D,Paraguay,26
D,Türkiye,26
D,United States of America,26
E,Curaçao,26
E,Côte d'Ivoire,26
E,Ecuador,26
E,Germany,26
F,Japan,26
F,Netherlands,26
F,Sweden,26
F,Tunisia,26
G,Belgium,26
G,Egypt,26
G,Islamic Republic of Iran,26
G,New Zealand,26
H,Cabo Verde,26
H,Saudi Arabia,26
H,Spain,26
H,Uruguay,26
I,France,26
I,Iraq,26
I,Norway,26
I,Senegal,26
J,Algeria,26
J,Argentina,26
J,Austria,26
J,Jordan,26
K,Colombia,23
K,Democratic Republic of the Congo,26
K,Portugal,26
K,Uzbekistan,26
L,Croatia,26
L,England,26
L,Ghana,26
L,Panama,26
